ScientificName,ScientificNamePopID,Family,CommonName,SerenaOrSarah,TeleostOrElasmo,MROriginLocation,RawMetabolicRate,MRRawDataOrMean,SampleSize,RawMetabolicRateUnits,RawMetabolicRateCitation,BodyMass,MassRawDataOrMean,BodyMassUnits,Temperature,TemperatureUnits,FactorialAerobicScope,binTemp
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,23.319,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",0.66,Raw,kg,13,ËšC,3.047911954,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,19.18445,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",0.95,Raw,kg,9,ËšC,1.756193594,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,17.79146,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",0.62,Raw,kg,5,ËšC,1.794267635,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,36.401872,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",0.68,Raw,kg,5,ËšC,3.727294196,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,16.08374,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",1.22,Raw,kg,5,ËšC,1.429048813,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,34.3693376,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",0.71,Raw,kg,5,ËšC,2.868509054,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,24.89989,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",1.25,Raw,kg,5,ËšC,2.183584795,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,30.0738848,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",0.77,Raw,kg,5,ËšC,2.321496643,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,46.71109,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",0.96,Raw,kg,9,ËšC,3.175480471,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,48.712288,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",0.65,Raw,kg,9,ËšC,2.120878967,NA
