ScientificName,ScientificNamePopID,Family,CommonName,SerenaOrSarah,TeleostOrElasmo,MROriginLocation,RawMetabolicRate,MRRawDataOrMean,SampleSize,RawMetabolicRateUnits,RawMetabolicRateCitation,BodyMass,MassRawDataOrMean,BodyMassUnits,Temperature,TemperatureUnits,FactorialAerobicScope,binTemp
Chromis atripectoralis,Chromis atripectoralis,Pomacentridae,Black-axel chromis,Sarah,Teleost,Great Barrier Reef,1613.5,Mean,10,mg O2 kg^-1 h^-1,"Rummer, J. L., Binning, S. A., Roche, D. G., & Johansen, J. L. (2016). Methods matter: considering locomotory mode and respirometry technique when estimating metabolic rates of fishes. Conservation Physiology 4, 1-13, doi: 10.1093/conphys/cow008.",8.1,Mean,g,28.5,ËšC,11.44,NA
Chromis ternatensis,Chromis ternatensis,Pomacentridae,Ternate chromis,Sarah,Teleost,"Lizard Island, Northern GBR",1310,Mean,NA,mg O2 kg^-1 h^-1,"Johansen, J. L. & Jones, G. P. (2011). Increasing ocean temperature reduces the metabolic performance and swimming ability of coral reef damselfishes. Global Change Biology 17, 2971â€“2979. doi: 10.1111/j.1365-2486.2011.02436.x",5.84,Mean,g,29,ËšC,8.36,NA
Chromis ternatensis,Chromis ternatensis,Pomacentridae,Ternate chromis,Sarah,Teleost,"Lizard Island, Northern GBR",1218,Mean,NA,mg O2 kg^-1 h^-1,"Johansen, J. L. & Jones, G. P. (2011). Increasing ocean temperature reduces the metabolic performance and swimming ability of coral reef damselfishes. Global Change Biology 17, 2971â€“2979. doi: 10.1111/j.1365-2486.2011.02436.x",5.84,Mean,g,29,ËšC,6.44,NA
Dascyllus aruanus,Dascyllus aruanus,Pomacentridae,Whitetail dascyllus,Sarah,Teleost,"Lizard Island, Northern GBR",1468,Mean,NA,mg O2 kg^-1 h^-1,"Increasing ocean temperature reduces the metabolic performance and swimming ability of coral reef damselfishes. Global Change Biology 17, 2971â€“2979. doi: 10.1111/j.1365-2486.2011.02436.x",5.99,Mean,g,29,ËšC,7.67,NA
Dascyllus aruanus,Dascyllus aruanus,Pomacentridae,Whitetail dascyllus,Sarah,Teleost,"Lizard Island, Northern GBR",1603,Mean,NA,mg O2 kg^-1 h^-1,"Increasing ocean temperature reduces the metabolic performance and swimming ability of coral reef damselfishes. Global Change Biology 17, 2971â€“2979. doi: 10.1111/j.1365-2486.2011.02436.x",5.99,Mean,g,32,ËšC,7.17,NA
Dascyllus reticulatus,Dascyllus reticulatus,Pomacentridae,Reticulate dascyllus,Sarah,Teleost,"Lizard Island, Northern GBR",1835,Mean,NA,mg O2 kg^-1 h^-1,"Increasing ocean temperature reduces the metabolic performance and swimming ability of coral reef damselfishes. Global Change Biology 17, 2971â€“2979. doi: 10.1111/j.1365-2486.2011.02436.x",7.52,Mean,g,29,ËšC,8.22,NA
Dascyllus reticulatus,Dascyllus reticulatus,Pomacentridae,Reticulate dascyllus,Sarah,Teleost,"Lizard Island, Northern GBR",938,Mean,NA,mg O2 kg^-1 h^-1,"Increasing ocean temperature reduces the metabolic performance and swimming ability of coral reef damselfishes. Global Change Biology 17, 2971â€“2979. doi: 10.1111/j.1365-2486.2011.02436.x",7.52,Mean,g,32,ËšC,4.72,NA
Forsterygion lapillum,Forsterygion lapillum,Tripterygiidae,Common triplefin,Sarah,Teleost,Northeastern NZ,0.55,Mean,NA,mg O2 h^-1,"Khan, J. R., & Herbert, N. A. (2012). The behavioural thermal preference of the common triplefin (Forsterygion lapillum) tracks aerobic scope optima at the upper thermal limit of its distribution. Journal of Thermal Biology, 37(2), 118-124.",2.1,Mean,g,15,ËšC,4.05,NA
Gadus macrocephalus,Gadus macrocephalus GOA,Gadidae,Pacific cod,Sarah,Teleost,"Kodiak Island, Gulf of Alaska",117.81,Mean,8,mg O2 kg^-0.8 h^-1,"Hanna, S. K., Haukenes, A. H., Foy, R. J., & Buck, C. L. (2008). Temperature effects on metabolic rate, swimming performance and condition of Pacific cod Gadus macrocephalus Tilesius.ÊJournal of Fish Biology,Ê72(4), 1068-1078.",1.5,Mean,kg,4,ËšC,4.09,NA
Gadus macrocephalus,Gadus macrocephalus GOA,Gadidae,Pacific cod,Sarah,Teleost,"Kodiak Island, Gulf of Alaska",149.85,Mean,8,mg O2 kg^-0.8 h^-1,"Hanna, S. K., Haukenes, A. H., Foy, R. J., & Buck, C. L. (2008). Temperature effects on metabolic rate, swimming performance and condition of Pacific cod Gadus macrocephalus Tilesius.ÊJournal of Fish Biology,Ê72(4), 1068-1078.",1.5,Mean,kg,11,ËšC,4.07,NA
Gasterosteus aculeatus,Gasterosteus aculeatus,Gasterosteidae,Three-spined stickleback,Sarah,Teleost,Scheldt River (Belgium),39.32,Mean,8,umol O2 g^-1 h^-1,"Tudorache, C., Blust, R. & De Boeck, G. (2007). Swimming capacity and energetics of migrating and non-migrating morphs of three-spined stickleback Gasterosteus aculeatus L. and their ecological implications. Journal of Fish Biology 71, 1448â€“1456. doi: 10.1111/j.1095-8649.2007.01612.x",3.33,Mean,g,15,ËšC,5.45,NA
Kuhlia sandvicensis,Kuhlia sandvicensis,Kuhliidae,Hawaiian flagtail,Sarah,Teleost,"Kaneohe Bay, Hawaii",584,Mean,NA,mg O2 kg^-1 h^-1,"Muir, B. S., & Niimi, A. J. (1972). Oxygen consumption of the euryhaline fish aholehole (Kuhlia sandvicensis) with reference to salinity, swimming, and food consumption. Journal of the Fisheries Board of Canada, 29(1), 67-77.",30,Mean,g,23,ËšC,9.34,NA
Leiostomus xanthurus,Leiostomus xanthurus,Sciaenidae,Spot croaker,Sarah,Teleost,western North Atlantic (off coast USA),1098.3,Mean,12,mg O2 kg^-1 h^-1,"Horodysky, A. Z., Brill, R. W., Bushnell, P. G., Musick, J. A., & Latour, R. J. (2011). Comparative metabolic rates of common western North Atlantic Ocean sciaenid fishes. Journal of fish biology, 79(1), 235-255.",121,Mean,g,25,ËšC,7.2,NA
Pterocaesio marri,Pterocaesio marri,Caesionidae,Marr's fusilier,Sarah,Teleost,Great Barrier Reef,1571,Mean,5,mg O2 h^-1,"Rummer, J. L., Binning, S. A., Roche, D. G., & Johansen, J. L. (2016). Methods matter: considering locomotory mode and respirometry technique when estimating metabolic rates of fishes. Conservation ",9.89,Mean,g,28.5,ËšC,8.04,NA
Rhinecanthus aculeatus,Rhinecanthus aculeatus,Balistidae,White-banded triggerfish,Sarah,Teleost,near Okinawa?,110.33,Mean,5,mg O2 h^-1,"Korsmeyer, K. E., Steffensen, J. F. & Herskin, J. (2002). Energetics of median and paired fin swimming, body and caudal fin swimming, and gait transition in parrotfish (Scarus schlegeli) and triggerfish (Rhinecanthus aculeatus). Journal of Experimental Biology 205, 1253â€“1263.",136,Mean,g,26.5,ËšC,11.81,NA
Salmo trutta,Salmo trutta,Salmonidae,Brown trout,Sarah,Teleost,"offspring of wild trout caught by electrofishing in the River Skjem, Denmark, raised in captivity",10.19,Mean,36,umol O2 min^-1,"Norin, T. and Malte, H. (2011) Repeatability of standard metabolic rate, active metabolic rate and aerobic scope in young brown trout during a period of moderate food availability. The Journal of Experimental Biology 214, 1668-1675",32.3,Mean,g,15,ËšC,5.78,NA
Salmo trutta,Salmo trutta,Salmonidae,Brown trout,Sarah,Teleost,"offspring of wild trout caught by electrofishing in the River Skjem, Denmark, raised in captivity",12.66,Mean,34,umol O2 min^-1,"Norin, T. and Malte, H. (2011) Repeatability of standard metabolic rate, active metabolic rate and aerobic scope in young brown trout during a period of moderate food availability. The Journal of Experimental Biology 214, 1668-1675",40.9,Mean,g,15,ËšC,7.15,NA
Salmo trutta,Salmo trutta,Salmonidae,Brown trout,Sarah,Teleost,"offspring of wild trout caught by electrofishing in the River Skjem, Denmark, raised in captivity",13.48,Mean,33,umol O2 min^-1,"Norin, T. and Malte, H. (2011) Repeatability of standard metabolic rate, active metabolic rate and aerobic scope in young brown trout during a period of moderate food availability. The Journal of Experimental Biology 214, 1668-1675",51.6,Mean,g,15,ËšC,6.55,NA
Salmo trutta,Salmo trutta,Salmonidae,Brown trout,Sarah,Teleost,"offspring of wild trout caught by electrofishing in the River Skjem, Denmark, raised in captivity",16.29,Mean,33,umol O2 min^-1,"Norin, T. and Malte, H. (2011) Repeatability of standard metabolic rate, active metabolic rate and aerobic scope in young brown trout during a period of moderate food availability. The Journal of Experimental Biology 214, 1668-1675",54,Mean,g,15,ËšC,8.05,NA
Scarus schlegeli,Scarus schlegeli,Scaridae,Parrotfish,Sarah,Teleost,near Okinawa?,86.31,Mean,7,mg O2 h^-1,"Korsmeyer, K. E., Steffensen, J. F., & Herskin, J. (2002). Energetics of median and paired fin swimming, body and caudal fin swimming, and gait transition in parrotfish (Scarus schlegeli) and triggerfish (Rhinecanthus aculeatus). Journal of experimental biology, 205(9), 1253-1263.",243,Mean,g,26.5,ËšC,3.74,NA
Scolopsis bilineata,Scolopsis bilineata,Nemipteridae,Bridled monocle bream,Sarah,Teleost,"Lizard Island, Northern GBR",36.02,Mean,10,mg O2 h^-1,"Roche, D. G., Binning, S. A., Bosiger, Y., Johansen, J. L., & Rummer, J. L. (2013). Finding the best estimates of metabolic rates in a coral reef fish. The Journal of experimental biology, 216(11), 2103-2110.",97,Mean,g,28,ËšC,5.21,NA
Seriola lalandi,Seriola lalandi,Carangidae,Yellowtail kingfish,Sarah,Teleost,"Eggs purchased from Clean Seas Aquaculture (Arno Bay, South Australia), hatched in the South Australian Research and Development  Institute, and raised to mass of ~ 2kg",9.38,Mean,10,mg O2 kg^-1 min^-1,"Clark, T. D., and Seymour, R. S. (2006) Cardiorespiratory physiology and swimming energetics of a high-energy-demand teleost, the yellowtail kingfish (Seriola lalandi). The Journal of Experimental Biology 209, 3940-3951",2000,Mean,g,20,ËšC,7.05,NA
Stethojulis bandanensis,Stethojulis bandanensis,Labridae,Red-shoulder wrasse,Sarah,Teleost,"Lizard Island, Northern GBR",5082.1,Mean,7,mg O2 h^-1,"Fulton, C. J., Johansen, J. L.&Steffensen, J. F. (2013). Energetic extremes in aquatic locomotion by coral reef fishes. PLoS One 8, e54033. doi: 10.1371/journal.pone.0054033 ",15.8,Mean,g,27.7,ËšC,22.98,NA
Oncorhynchus mykiss,Oncorhynchus mykiss,Salmonidae,Rainbow trout,Sarah,Teleost,"hatchery raised in the Fraser Valley, Canada",262.16,Mean,NA,mg O2 kg^-1 h^-1,"Zhang, Y., Healy, T. M., Vandersteen, W., Schulte, P. M., & Farrell, A. P. (2018). A rainbow trout Oncorhynchus mykiss strain with higher aerobic scope in normoxia also has superior tolerance of hypoxia.ÊJournal of Fish Biology,Ê92(2), 487-503.",0.073,Mean,kg,7.4,ËšC,6.32,NA
Oncorhynchus mykiss,Oncorhynchus mykiss,Salmonidae,Rainbow trout,Sarah,Teleost,"hatchery raised in the Fraser Valley, Canada",292.92,Mean,NA,mg O2 kg^-1 h^-1,"Zhang, Y., Healy, T. M., Vandersteen, W., Schulte, P. M., & Farrell, A. P. (2018). A rainbow trout Oncorhynchus mykiss strain with higher aerobic scope in normoxia also has superior tolerance of hypoxia.ÊJournal of Fish Biology,Ê92(2), 487-503.",0.069,Mean,kg,7.4,ËšC,7.17,NA
Oncorhynchus mykiss,Oncorhynchus mykiss,Salmonidae,Rainbow trout,Sarah,Teleost,"hatchery raised in the Fraser Valley, Canada",438.63,Mean,NA,mg O2 kg^-1 h^-1,"Zhang, Y., Healy, T. M., Vandersteen, W., Schulte, P. M., & Farrell, A. P. (2018). A rainbow trout Oncorhynchus mykiss strain with higher aerobic scope in normoxia also has superior tolerance of hypoxia.ÊJournal of Fish Biology,Ê92(2), 487-503.",0.066,Mean,kg,7.4,ËšC,9.62,NA
Lates calcarifer,Lates calcarifer,Latidae,Barramundi,Sarah,Teleost,"obtained from Good Fortune Bay Hatchery, Bowen, Queensland, Australia",6.74,Mean,4,mg O2 kg^-1 min^-1,"Norin, T., Malte, H., & Clark, T. D. (2014). Aerobic scope does not predict the performance of a tropical eurythermal fish at elevated temperatures.ÊJournal of Experimental Biology,Ê217(2), 244-251.",89.9,Raw,g,29,ËšC,4.27,NA
Oplegnathus fasciatus,Oplegnathus fasciatus,Oplegnathidae,Striped beakfish,Sarah,Teleost,S Korea? In captivity,14.7,Mean,1,mg O2 kg^-1 h^-1,"Prakoso, V. A., & Chang, Y. J. (2018). Metabolic rates (SMR, RMR, AMR, AND MMR) of Oplegnathus fasciatus on different temperature and salinity settings.ÊIndonesian Aquaculture Journal,Ê13(1), 23-29.",469.4,Mean,g,15,ËšC,1.25,NA
Oplegnathus fasciatus,Oplegnathus fasciatus,Oplegnathidae,Striped beakfish,Sarah,Teleost,S Korea? In captivity,19.3,Mean,1,mg O2 kg^-1 h^-1,"Prakoso, V. A., & Chang, Y. J. (2018). Metabolic rates (SMR, RMR, AMR, AND MMR) of Oplegnathus fasciatus on different temperature and salinity settings.ÊIndonesian Aquaculture Journal,Ê13(1), 23-29.",469.4,Mean,g,20,ËšC,1.19,NA
Oplegnathus fasciatus,Oplegnathus fasciatus,Oplegnathidae,Striped beakfish,Sarah,Teleost,S Korea? In captivity,39.6,Mean,1,mg O2 kg^-1 h^-1,"Prakoso, V. A., & Chang, Y. J. (2018). Metabolic rates (SMR, RMR, AMR, AND MMR) of Oplegnathus fasciatus on different temperature and salinity settings.ÊIndonesian Aquaculture Journal,Ê13(1), 23-29.",469.4,Mean,g,25,ËšC,1.25,NA
Ostorhinchus cyanosoma,Ostorhinchus cyanosoma,Apogonidae,yellowstriped cardinalfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,765,Mean,7,mg O2 kg^-1 h^-1,"Nilsson GE, Crawley N, Lunde IG,  Munday PL (2009) Elevated temperature reduced the respiratory scope of coral reef fishes. Glob. Change Biol. 15: 1405",2.75,Mean,g,29,ËšC,4.04,NA
Ostorhinchus cyanosoma,Ostorhinchus cyanosoma,Apogonidae,yellowstriped cardinalfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,651,Mean,7,mg O2 kg^-1 h^-1,"Nilsson GE, Crawley N, Lunde IG,  Munday PL (2009) Elevated temperature reduced the respiratory scope of coral reef fishes. Glob. Change Biol. 15: 1405",2.75,Mean,g,31,ËšC,2.66,NA
Ostorhinchus cyanosoma,Ostorhinchus cyanosoma,Apogonidae,yellowstriped cardinalfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,580,Mean,7,mg O2 kg^-1 h^-1,"Nilsson GE, Crawley N, Lunde IG,  Munday PL (2009) Elevated temperature reduced the respiratory scope of coral reef fishes. Glob. Change Biol. 15: 1405",2.75,Mean,g,32,ËšC,2.11,NA
Ostorhinchus cyanosoma,Ostorhinchus cyanosoma,Apogonidae,yellowstriped cardinalfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,119,Mean,7,mg O2 kg^-1 h^-1,"Nilsson GE, Crawley N, Lunde IG,  Munday PL (2009) Elevated temperature reduced the respiratory scope of coral reef fishes. Glob. Change Biol. 15: 1405",2.75,Mean,g,33,ËšC,1.23,NA
Ostorhinchus doederleini,Ostorhinchus doederleini,Apogonidae,fourline cardinalfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,606,Mean,7,mg O2 kg^-1 h^-1,"Nilsson GE, Crawley N, Lunde IG,  Munday PL (2009) Elevated temperature reduced the respiratory scope of coral reef fishes. Glob. Change Biol. 15: 1405",2.68,Mean,g,29,ËšC,3.16,NA
Ostorhinchus doederleini,Ostorhinchus doederleini,Apogonidae,fourline cardinalfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,439,Mean,7,mg O2 kg^-1 h^-1,"Nilsson GE, Crawley N, Lunde IG,  Munday PL (2009) Elevated temperature reduced the respiratory scope of coral reef fishes. Glob. Change Biol. 15: 1405",2.68,Mean,g,31,ËšC,2.31,NA
Ostorhinchus doederleini,Ostorhinchus doederleini,Apogonidae,fourline cardinalfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,419,Mean,7,mg O2 kg^-1 h^-1,"Nilsson GE, Crawley N, Lunde IG,  Munday PL (2009) Elevated temperature reduced the respiratory scope of coral reef fishes. Glob. Change Biol. 15: 1405",2.68,Mean,g,32,ËšC,1.93,NA
Ostorhinchus doederleini,Ostorhinchus doederleini,Apogonidae,fourline cardinalfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,194,Mean,7,mg O2 kg^-1 h^-1,"Nilsson GE, Crawley N, Lunde IG,  Munday PL (2009) Elevated temperature reduced the respiratory scope of coral reef fishes. Glob. Change Biol. 15: 1405",2.68,Mean,g,33,ËšC,1.37,NA
Dascyllus melanurus,Dascyllus melanurus,Pomacentridae,fourstripe damselfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,237,Mean,8,mg O2 kg^-1 h^-1,"Rummer JL, Couturier CS, Stecyk JAW, Gardiner NM, Kinch JP, Nilsson GE,  Munday PL (2014) Life on the edge: Thermal optima for aerobic scope of equatorial reef fishes are close to current day temperatures. Global change biology 20: 1055-1066",3.02,Mean,g,29,ËšC,1.7,NA
Dascyllus melanurus,Dascyllus melanurus,Pomacentridae,fourstripe damselfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,581,Mean,8,mg O2 kg^-1 h^-1,"Rummer JL, Couturier CS, Stecyk JAW, Gardiner NM, Kinch JP, Nilsson GE,  Munday PL (2014) Life on the edge: Thermal optima for aerobic scope of equatorial reef fishes are close to current day temperatures. Global change biology 20: 1055-1066",3.02,Mean,g,31,ËšC,2.61,NA
Dascyllus melanurus,Dascyllus melanurus,Pomacentridae,fourstripe damselfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,284,Mean,8,mg O2 kg^-1 h^-1,"Rummer JL, Couturier CS, Stecyk JAW, Gardiner NM, Kinch JP, Nilsson GE,  Munday PL (2014) Life on the edge: Thermal optima for aerobic scope of equatorial reef fishes are close to current day temperatures. Global change biology 20: 1055-1066",3.02,Mean,g,33,ËšC,1.81,NA
Dascyllus melanurus,Dascyllus melanurus,Pomacentridae,fourstripe damselfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,52,Mean,8,mg O2 kg^-1 h^-1,"Rummer JL, Couturier CS, Stecyk JAW, Gardiner NM, Kinch JP, Nilsson GE,  Munday PL (2014) Life on the edge: Thermal optima for aerobic scope of equatorial reef fishes are close to current day temperatures. Global change biology 20: 1055-1066",3.02,Mean,g,34,ËšC,1.11,NA
Cheilodipterus quinquelineatus,Cheilodipterus quinquelineatus,Apogonidae,five-lined cardinalfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,435,Mean,8,mg O2 kg^-1 h^-1,"Rummer JL, Couturier CS, Stecyk JAW, Gardiner NM, Kinch JP, Nilsson GE,  Munday PL (2014) Life on the edge: Thermal optima for aerobic scope of equatorial reef fishes are close to current day temperatures. Global change biology 20: 1055-1066",3.31,Mean,g,29,ËšC,2.46,NA
Cheilodipterus quinquelineatus,Cheilodipterus quinquelineatus,Apogonidae,five-lined cardinalfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,497,Mean,8,mg O2 kg^-1 h^-1,"Rummer JL, Couturier CS, Stecyk JAW, Gardiner NM, Kinch JP, Nilsson GE,  Munday PL (2014) Life on the edge: Thermal optima for aerobic scope of equatorial reef fishes are close to current day temperatures. Global change biology 20: 1055-1066",3.31,Mean,g,31,ËšC,3.2,NA
Cheilodipterus quinquelineatus,Cheilodipterus quinquelineatus,Apogonidae,five-lined cardinalfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,233,Mean,8,mg O2 kg^-1 h^-1,"Rummer JL, Couturier CS, Stecyk JAW, Gardiner NM, Kinch JP, Nilsson GE,  Munday PL (2014) Life on the edge: Thermal optima for aerobic scope of equatorial reef fishes are close to current day temperatures. Global change biology 20: 1055-1066",3.31,Mean,g,33,ËšC,1.7,NA
Cheilodipterus quinquelineatus,Cheilodipterus quinquelineatus,Apogonidae,five-lined cardinalfish,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,24,Mean,8,mg O2 kg^-1 h^-1,"Rummer JL, Couturier CS, Stecyk JAW, Gardiner NM, Kinch JP, Nilsson GE,  Munday PL (2014) Life on the edge: Thermal optima for aerobic scope of equatorial reef fishes are close to current day temperatures. Global change biology 20: 1055-1066",3.31,Mean,g,34,ËšC,1.07,NA
Myoxocephalus scorpius,Myoxocephalus scorpius,Cottidae,shorthorn sculpin,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,78,Mean,29,mg O2 kg^-1 h^-1,"Seth H, GrŠns A, Sandblom E, Olsson C, Wiklander K, Johnsson JI,  Axelsson M (2013) Metabolic scope and interspecific competition in sculpins of greenland are influenced by increased temperatures due to climate change. PLoS ONE 8: e62859",382.5,Middle,g,4,ËšC,2.46,NA
Myoxocephalus scorpius,Myoxocephalus scorpius,Cottidae,shorthorn sculpin,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,93,Mean,29,mg O2 kg^-1 h^-1,"Seth H, GrŠns A, Sandblom E, Olsson C, Wiklander K, Johnsson JI,  Axelsson M (2013) Metabolic scope and interspecific competition in sculpins of greenland are influenced by increased temperatures due to climate change. PLoS ONE 8: e62860",382.5,Middle,g,9,ËšC,3.2,NA
Myoxocephalus scorpius,Myoxocephalus scorpius,Cottidae,shorthorn sculpin,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,61,Mean,29,mg O2 kg^-1 h^-1,"Seth H, GrŠns A, Sandblom E, Olsson C, Wiklander K, Johnsson JI,  Axelsson M (2013) Metabolic scope and interspecific competition in sculpins of greenland are influenced by increased temperatures due to climate change. PLoS ONE 8: e62861",382.5,Middle,g,14,ËšC,1.7,NA
Myoxocephalus scorpioides,Myoxocephalus scorpioides,Cottidae,Arctic sculpin,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,69,Mean,19,mg O2 kg^-1 h^-1,"Seth H, GrŠns A, Sandblom E, Olsson C, Wiklander K, Johnsson JI,  Axelsson M (2013) Metabolic scope and interspecific competition in sculpins of greenland are influenced by increased temperatures due to climate change. PLoS ONE 8: e62862",122.5,Middle,g,4,ËšC,2.98,NA
Myoxocephalus scorpioides,Myoxocephalus scorpioides,Cottidae,Arctic sculpin,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,88,Mean,19,mg O2 kg^-1 h^-1,"Seth H, GrŠns A, Sandblom E, Olsson C, Wiklander K, Johnsson JI,  Axelsson M (2013) Metabolic scope and interspecific competition in sculpins of greenland are influenced by increased temperatures due to climate change. PLoS ONE 8: e62863",122.5,Middle,g,9,ËšC,2.48,NA
Myoxocephalus scorpioides,Myoxocephalus scorpioides,Cottidae,Arctic sculpin,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,67,Mean,19,mg O2 kg^-1 h^-1,"Seth H, GrŠns A, Sandblom E, Olsson C, Wiklander K, Johnsson JI,  Axelsson M (2013) Metabolic scope and interspecific competition in sculpins of greenland are influenced by increased temperatures due to climate change. PLoS ONE 8: e62864",122.5,Middle,g,14,ËšC,1.78,NA
Gymnocanthus tricuspis,Gymnocanthus tricuspis,Cottidae,Arctic staghorn sculpin,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,52.2,Mean,19,mg O2 kg^-1 h^-1,"Seth H, GrŠns A, Sandblom E, Olsson C, Wiklander K, Johnsson JI,  Axelsson M (2013) Metabolic scope and interspecific competition in sculpins of greenland are influenced by increased temperatures due to climate change. PLoS ONE 8: e62865",133,Middle,g,4,ËšC,2.28,NA
Gymnocanthus tricuspis,Gymnocanthus tricuspis,Cottidae,Arctic staghorn sculpin,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,40,Mean,19,mg O2 kg^-1 h^-1,"Seth H, GrŠns A, Sandblom E, Olsson C, Wiklander K, Johnsson JI,  Axelsson M (2013) Metabolic scope and interspecific competition in sculpins of greenland are influenced by increased temperatures due to climate change. PLoS ONE 8: e62866",133,Middle,g,9,ËšC,1.5,NA
Gymnocanthus tricuspis,Gymnocanthus tricuspis,Cottidae,Arctic staghorn sculpin,Sarah,Teleost,Qeqertarsuaq (Disko Island) on the west coast of Greenland,20,Mean,19,mg O2 kg^-1 h^-1,"Seth H, GrŠns A, Sandblom E, Olsson C, Wiklander K, Johnsson JI,  Axelsson M (2013) Metabolic scope and interspecific competition in sculpins of greenland are influenced by increased temperatures due to climate change. PLoS ONE 8: e62867",133,Middle,g,14,ËšC,1.17,NA
Sparus aurata,Sparus aurata,Sparidae,Gilthead seabream,Sarah,Teleost,Hatchery (France),8.07,Mean,6,mmol O2 kg^-1 h^-1,"Hachim, M., Rouyer, T., Dutto, G., Kerzerho, V., Bernard, S., Bourjea, J., & McKenzie, D. J. (2021). Oxygen uptake, heart rate and activities of locomotor muscles during a critical swimming speed protocol in the gilthead sea bream Sparus aurata.ÊJournal of Fish Biology,Ê98(3), 886-890.",612,Mean,g,16,ËšC,3.52,NA
Boreogadus saida,Boreogadus saida,Gadidae,Arctic cod,Sarah,Teleost,from Isfjorden and Kongsfjorden on the west coast of Spitsbergen,0.043,Mean,5,umol O2 g^-1 min^-1,"Kunz, K. L., Claireaux, G., Pšrtner, H. O., Knust, R., & Mark, F. C. (2018). Aerobic capacities and swimming performance of polar cod (Boreogadus saida) under ocean acidification and warming conditions.ÊJournal of Experimental Biology,Ê221(21), jeb184473.",23.3,Mean,g,0,ËšC,1.8,NA
Bathylagus antarcticus,Bathylagus antarcticus,Bathylagidae,Antarctic deepsea smelt,Sarah,Teleost,somewhere in Antarctica,0.021,Mean,26,ul O2 mg^-1 h^-1,"Torres, J. J., & Somero, G. N. (1988). Metabolism, enzymic activities and cold adaptation in Antarctic mesopelagic fishes.ÊMarine Biology,Ê98, 169-180.",10.4,Middle,g,0.5,ËšC,4,NA
Cyclothone microdon,Cyclothone microdon,Gonostomatidae,Veiled anglemouth,Sarah,Teleost,somewhere in Antarctica,0.016,Mean,3,ul O2 mg^-1 h^-1,"Torres, J. J., & Somero, G. N. (1988). Metabolism, enzymic activities and cold adaptation in Antarctic mesopelagic fishes.ÊMarine Biology,Ê98, 169-180.",0.8,Middle,g,0.5,ËšC,2.45,NA
Poromitra crassiceps,Poromitra crassiceps,Melamphaidae,Crested bigscale,Sarah,Teleost,somewhere in Antarctica,0.032,Mean,1,ul O2 mg^-1 h^-1,"Torres, J. J., & Somero, G. N. (1988). Metabolism, enzymic activities and cold adaptation in Antarctic mesopelagic fishes.ÊMarine Biology,Ê98, 169-180.",4.5,Middle,g,0.5,ËšC,3.29,NA
Melanostigma gelatinosum,Melanostigma gelatinosum,Zoarcidae,Limp eelpout,Sarah,Teleost,somewhere in Antarctica,0.043,Mean,1,ul O2 mg^-1 h^-1,"Torres, J. J., & Somero, G. N. (1988). Metabolism, enzymic activities and cold adaptation in Antarctic mesopelagic fishes.ÊMarine Biology,Ê98, 169-180.",47.2,Middle,g,0.5,ËšC,4.58,NA
Benthalbella elongata,Benthalbella elongata,Scopelarchidae,Elongate greeneye,Sarah,Teleost,somewhere in Antarctica,0.029,Mean,1,ul O2 mg^-1 h^-1,"Torres, J. J., & Somero, G. N. (1988). Metabolism, enzymic activities and cold adaptation in Antarctic mesopelagic fishes.ÊMarine Biology,Ê98, 169-180.",35.3,Middle,g,0.5,ËšC,2.26,NA
