"scientific_name","family","common_name","teleost_or_elasmo","mr_raw_mg_per_kg_per_h","mr_raw_data_or_mean","body_mass_in_grams","mass_raw_data_or_mean","trophic_position","tro_standard_error"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","3950","raw","11","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4170","raw","14","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","3120","raw","13","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","3710","raw","13","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4860","raw","11","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4760","raw","12","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","5960","raw","12","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","5540","raw","14","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","6500","raw","15","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","3960","raw","14","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4850","raw","12","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4570","raw","13","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4810","raw","11","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4450","raw","11","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","5820","raw","10","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","3760","raw","11","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","5800","raw","11","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4910","raw","13","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4980","raw","26","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4660","raw","27","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","5600","raw","24","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","5090","raw","21","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","6140","raw","27","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","7860","raw","27","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","5900","raw","27","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","6690","raw","25","raw","3.6","0.13"
